Locality;Locality;"COD IBGE";"Life expectancy at birth (2000)";"Life expectancy at birth (2010)";"Infant mortality (2000)";"Infant mortality (2010)";"MHDI (2000)";"MHDI (2010)";"MHDI Income (2000)";"MHDI Income (2010)";"MHDI Longevity (2000)";"MHDI Longevity (2010)";"MHDI Education (2000)";"MHDI Education (2010)";"Years of study expectancy (2000)";"Years of study expectancy (2010)";"Per capita income (2000)";"Per capita income (2010)"
"40 Horas (Ananindeua , RM Belém)";HDU;--;69,55;73,45;30,90;20,10;0,574;0,714;0,605;0,663;0,743;0,808;0,420;0,680;8,17;10,23;345,33;495,80
"40 Horas : Condomínio Vila Firenze (Ananindeua , RM Belém)";HDU;--;75,60;79,97;17,30;9,60;0,790;0,885;0,798;0,872;0,843;0,916;0,734;0,869;11,07;11,99;1150,37;1822,09
"40 Horas : Conjunto Antônio Queiroz (Ananindeua , RM Belém)";HDU;--;74,94;79,18;18,60;10,70;0,750;0,849;0,760;0,826;0,832;0,903;0,667;0,820;10,70;11,69;903,23;1365,23
"Abacatal (Ananindeua , RM Belém)";HDU;--;67,84;70,55;35,60;26,20;0,540;0,643;0,567;0,619;0,714;0,759;0,388;0,566;8,60;8,90;272,71;375,95
"Águas Brancas / Anita Gerosa (Ananindeua , RM Belém)";HDU;--;66,53;70,55;39,60;26,20;0,500;0,643;0,537;0,619;0,692;0,759;0,337;0,566;7,23;8,90;225,47;375,95
"Águas Brancas : Residencial Jardim Amazônia II (Ananindeua , RM Belém)";HDU;--;72,15;77,79;24,50;12,70;0,666;0,792;0,663;0,748;0,786;0,880;0,567;0,756;9,79;11,06;496,33;840,88
"Águas Lindas / Júlia Seffer : Rua da Cohaspa (Ananindeua , RM Belém)";HDU;--;67,13;72,73;37,70;21,50;0,493;0,666;0,543;0,641;0,702;0,796;0,315;0,580;7,61;9,24;235,38;432,06
"Atalaia / Jaderlândia : Residencial City Park / Denise Melo / Quinta de Castanheiras (Ananindeua , RM Belém)";HDU;--;74,94;79,18;18,60;10,70;0,750;0,849;0,760;0,826;0,832;0,903;0,667;0,820;10,70;11,69;903,23;1365,23
"Atalaia : Terra Santa (Ananindeua , RM Belém)";HDU;--;68,31;71,40;34,30;24,30;0,552;0,661;0,583;0,628;0,722;0,773;0,399;0,595;8,41;9,93;300,57;398,26
"Centro : Azpha Ville (Ananindeua , RM Belém)";HDU;--;75,60;79,97;17,30;9,60;0,790;0,885;0,798;0,872;0,843;0,916;0,734;0,869;11,07;11,99;1150,37;1822,09
"Centro : BR 316 (Ananindeua , RM Belém)";HDU;--;69,46;72,38;31,10;22,20;0,591;0,669;0,600;0,633;0,741;0,790;0,464;0,599;8,90;9,37;334,49;410,06
"Centro / Geraldo Palmeira : Rua Jão Canuto (Ananindeua , RM Belém)";HDU;--;72,15;77,79;24,50;12,70;0,666;0,792;0,663;0,748;0,786;0,880;0,567;0,756;9,79;11,06;496,33;840,88
"Centro : Jardim da Abolição (Ananindeua , RM Belém)";HDU;--;68,31;70,55;34,30;26,20;0,552;0,643;0,583;0,619;0,722;0,759;0,399;0,566;8,41;8,90;300,57;375,95
"Centro / Maguari : Av. Cláudio Sauders (Ananindeua , RM Belém)";HDU;--;68,31;73,45;34,30;20,10;0,552;0,714;0,583;0,663;0,722;0,808;0,399;0,680;8,41;10,23;300,57;495,80
"Centro ( Prefeitura ) (Ananindeua , RM Belém)";HDU;--;74,94;79,18;18,60;10,70;0,750;0,849;0,760;0,826;0,832;0,903;0,667;0,820;10,70;11,69;903,23;1365,23
"Cidade Nova (Ananindeua , RM Belém)";HDU;--;73,33;78,50;21,90;11,70;0,726;0,824;0,702;0,760;0,806;0,892;0,677;0,826;10,87;11,61;631,92;905,01
"Cidade Nova 1 / Cidade Nova 9 (Ananindeua , RM Belém)";HDU;--;74,94;79,18;18,60;10,70;0,750;0,849;0,760;0,826;0,832;0,903;0,667;0,820;10,70;11,69;903,23;1365,23
"Cidade Nova 6 / Guajará (Ananindeua , RM Belém)";HDU;--;71,64;76,14;25,70;15,30;0,674;0,769;0,655;0,713;0,777;0,852;0,602;0,750;10,13;11,05;471,61;675,47
