Locality;Locality;"COD IBGE";"Life expectancy at birth (1991)";"Life expectancy at birth (2000)";"Life expectancy at birth (2010)";"Infant mortality (1991)";"Infant mortality (2000)";"Infant mortality (2010)";"MHDI (1991)";"MHDI (2000)";"MHDI (2010)";"MHDI Income (1991)";"MHDI Income (2000)";"MHDI Income (2010)";"MHDI Longevity (1991)";"MHDI Longevity (2000)";"MHDI Longevity (2010)";"MHDI Education (1991)";"MHDI Education (2000)";"MHDI Education (2010)";"Years of study expectancy (1991)";"Years of study expectancy (2000)";"Years of study expectancy (2010)";"Per capita income (1991)";"Per capita income (2000)";"Per capita income (2010)"
"Campestre de Goiás (GO)";Municipality;520460;63.56;69.77;72.96;32.90;27.40;16.10;0.420;0.524;0.653;0.527;0.584;0.628;0.643;0.746;0.799;0.218;0.330;0.556;7.70;8.92;9.51;212.52;302.37;398.50
"Campinaçu (GO)";Municipality;520465;64.48;69.98;74.12;30.20;27.00;14.40;0.373;0.494;0.631;0.520;0.552;0.644;0.658;0.750;0.819;0.152;0.292;0.476;8.09;7.90;8.68;203.10;248.24;438.93
"Campinorte (GO)";Municipality;520470;64.69;69.38;75.43;29.63;28.40;12.60;0.389;0.547;0.688;0.529;0.596;0.685;0.662;0.740;0.841;0.168;0.372;0.565;6.08;9.14;11.24;215.67;325.63;567.41
"Campo Alegre de Goiás (GO)";Municipality;520480;65.18;69.94;73.68;28.27;27.10;15.00;0.466;0.608;0.694;0.684;0.693;0.702;0.670;0.749;0.811;0.221;0.432;0.586;8.69;9.30;9.41;564.82;596.02;632.70
"Campo Limpo de Goiás (GO)";Municipality;520485;65.54;70.76;74.75;27.30;25.20;13.50;0.324;0.495;0.661;0.545;0.583;0.654;0.676;0.763;0.829;0.092;0.272;0.533;6.93;7.26;9.49;236.95;301.89;467.42
"Campos Belos (GO)";Municipality;520490;62.54;68.22;73.87;36.06;31.20;14.80;0.408;0.511;0.692;0.563;0.577;0.661;0.626;0.720;0.815;0.192;0.322;0.616;7.80;8.26;9.79;266.41;290.20;487.96
"Campos Verdes (GO)";Municipality;520495;62.26;67.01;72.73;36.98;34.30;16.50;0.320;0.519;0.654;0.558;0.571;0.608;0.621;0.700;0.796;0.095;0.350;0.577;5.35;9.23;10.90;258.23;278.73;351.52
"Carmo do Rio Verde (GO)";Municipality;520500;65.27;70.10;74.44;28.02;26.70;13.90;0.449;0.578;0.713;0.520;0.597;0.677;0.671;0.752;0.824;0.259;0.431;0.649;8.54;8.92;9.73;203.32;328.06;541.99
"Castelândia (GO)";Municipality;520505;67.60;71.48;74.40;24.83;23.70;14.00;0.374;0.546;0.701;0.542;0.643;0.724;0.710;0.775;0.823;0.136;0.326;0.578;6.38;8.38;8.19;232.82;437.76;724.42
"Catalão (GO)";Municipality;520510;67.62;73.43;74.12;23.73;19.90;13.02;0.533;0.662;0.766;0.624;0.694;0.769;0.710;0.807;0.819;0.341;0.519;0.715;9.70;9.99;10.01;389.29;600.38;959.40
"Caturaí (GO)";Municipality;520520;64.62;69.54;73.92;29.81;28.00;14.70;0.396;0.527;0.664;0.524;0.585;0.665;0.660;0.742;0.815;0.180;0.338;0.540;6.49;8.03;9.50;209.04;304.88;500.32
"Cavalcante (GO)";Municipality;520530;63.42;67.61;73.47;33.31;32.70;15.40;0.285;0.396;0.584;0.458;0.509;0.595;0.640;0.710;0.808;0.079;0.172;0.415;4.51;4.31;8.14;138.66;190.08;324.92
"Ceres (GO)";Municipality;520540;67.02;73.15;75.49;23.54;20.40;12.81;0.543;0.654;0.775;0.650;0.690;0.753;0.700;0.803;0.842;0.351;0.504;0.733;9.09;9.82;10.77;456.24;584.82;865.23
"Cezarina (GO)";Municipality;520545;65.18;71.12;73.40;28.27;24.50;15.40;0.434;0.581;0.711;0.586;0.615;0.684;0.670;0.769;0.807;0.208;0.414;0.652;7.35;8.18;9.14;306.10;366.50;564.44
"Chapadão do Céu (GO)";Municipality;520547;67.62;72.90;75.20;23.73;20.80;12.90;0.425;0.618;0.742;0.588;0.664;0.748;0.710;0.798;0.837;0.184;0.445;0.652;7.24;9.45;9.45;311.34;498.64;841.50
"Cidade Ocidental (GO)";Municipality;520549;67.60;72.79;73.82;22.16;21.10;14.80;0.538;0.638;0.717;0.650;0.670;0.706;0.710;0.797;0.814;0.338;0.486;0.641;8.72;9.31;9.79;457;516.37;647.64
"Cocalzinho de Goiás (GO)";Municipality;520551;62.92;69.11;74.55;34.86;29.00;13.80;0.363;0.506;0.657;0.547;0.567;0.648;0.632;0.735;0.826;0.138;0.310;0.531;8.38;8.32;8.82;240.65;272.38;450.47
"Colinas do Sul (GO)";Municipality;520552;62.92;67.09;74.21;34.86;34.10;14.30;0.377;0.472;0.658;0.525;0.532;0.633;0.632;0.702;0.820;0.161;0.282;0.549;6.57;7.33;9.36;209.59;219.60;410.83
"Córrego do Ouro (GO)";Municipality;520570;65.18;70.91;73.18;28.27;24.90;17.70;0.428;0.550;0.686;0.536;0.578;0.696;0.670;0.765;0.803;0.218;0.377;0.578;8.19;7.86;8.95;224.62;291.65;608.31
"Corumbá de Goiás (GO)";Municipality;520580;64.88;69.76;74.75;29.09;27.50;13.50;0.333;0.500;0.680;0.550;0.616;0.665;0.665;0.746;0.829;0.101;0.272;0.571;7.55;8.16;9.33;244.87;370.44;503.01
"Corumbaíba (GO)";Municipality;520590;65.58;72.17;74.85;27.18;22.30;13.40;0.427;0.573;0.698;0.586;0.637;0.703;0.676;0.786;0.831;0.197;0.376;0.582;8.44;8.32;7.01;306.06;421.22;635.98
"Cristalina (GO)";Municipality;520620;66.94;72.25;73.84;23.74;22.10;16.91;0.474;0.578;0.699;0.586;0.646;0.716;0.699;0.788;0.814;0.260;0.380;0.587;8.31;8.25;9.46;307.52;444.33;686.90
"Cristianópolis (GO)";Municipality;520630;65.68;72.36;75.30;26.92;21.90;12.80;0.403;0.623;0.688;0.591;0.656;0.703;0.678;0.789;0.838;0.163;0.467;0.554;7.73;8.73;8.42;316.09;475.50;635.46
"Crixás (GO)";Municipality;520640;65.69;72.14;73.31;26.91;22.30;17.50;0.404;0.565;0.708;0.611;0.597;0.706;0.678;0.786;0.805;0.159;0.384;0.625;6.42;8.57;9.74;357.38;328.92;645.40
"Cromínia (GO)";Municipality;520650;66.06;72.35;73.16;25.95;21.90;15.80;0.429;0.617;0.706;0.574;0.640;0.692;0.684;0.789;0.803;0.201;0.466;0.634;8.19;10.16;9.51;284.25;429.74;592.36
"Cumari (GO)";Municipality;520660;65.58;72.17;74.16;27.18;22.30;14.30;0.465;0.625;0.737;0.582;0.628;0.744;0.676;0.786;0.819;0.256;0.495;0.657;8.01;10.59;9.33;298.41;398.66;819.81
"Damianópolis (GO)";Municipality;520670;64.45;70.89;73.91;30.29;25.00;14.70;0.368;0.496;0.654;0.478;0.481;0.614;0.658;0.765;0.815;0.158;0.332;0.558;7.38;7.48;9.97;156.52;159.55;364.51
"Damolândia (GO)";Municipality;520680;63.35;68.25;74.14;33.53;31.10;14.40;0.478;0.563;0.697;0.541;0.560;0.688;0.639;0.721;0.819;0.315;0.443;0.600;7.12;9.12;10.28;231.74;261.54;578.93
"Davinópolis (GO)";Municipality;520690;67.62;72.06;76.72;23.73;22.50;11.00;0.437;0.587;0.716;0.553;0.576;0.702;0.710;0.784;0.862;0.213;0.449;0.606;8.68;10.66;10.91;250.55;287.47;632.22
"Diorama (GO)";Municipality;520710;63.80;70.91;75.48;32.18;24.90;12.50;0.414;0.558;0.729;0.507;0.602;0.663;0.647;0.765;0.841;0.216;0.377;0.696;8.79;9.70;11.64;187.21;339.33;494.60
"Divinópolis de Goiás (GO)";Municipality;520830;64.78;70.68;73.75;29.36;25.40;14.90;0.374;0.521;0.653;0.495;0.509;0.624;0.663;0.761;0.813;0.160;0.365;0.550;6.86;8.71;10.72;174.05;190.44;388.34
"Doverlândia (GO)";Municipality;520725;65.73;71.57;75.40;30.42;23.50;12.60;0.331;0.504;0.668;0.541;0.608;0.684;0.679;0.776;0.840;0.099;0.272;0.518;6.13;7.83;9.75;231.52;351.80;563.89
"Edealina (GO)";Municipality;520735;67.12;72.11;73.45;23.32;22.40;15.40;0.415;0.600;0.702;0.564;0.649;0.722;0.702;0.785;0.808;0.180;0.425;0.594;7.61;8.47;10.04;267.32;454.94;715.80
"Edéia (GO)";Municipality;520740;66.20;70.70;74.55;25.58;25.40;13.80;0.465;0.589;0.739;0.621;0.676;0.755;0.687;0.762;0.826;0.236;0.397;0.648;7.74;9.20;10.29;381.33;537.33;876.15
"Estrela do Norte (GO)";Municipality;520750;67.60;72.69;75.85;22.16;21.30;12.00;0.431;0.550;0.707;0.492;0.607;0.703;0.710;0.795;0.848;0.229;0.344;0.593;7.68;7.44;11.11;171.34;349.54;636.54
"Faina (GO)";Municipality;520753;63.31;70.40;72.94;33.64;26.00;16.10;0.347;0.504;0.650;0.537;0.597;0.644;0.639;0.757;0.799;0.122;0.283;0.534;6.82;8.58;10.92;225.56;329.40;441.39
"Fazenda Nova (GO)";Municipality;520760;64.69;69.27;74.87;29.63;28.60;13.40;0.434;0.573;0.685;0.562;0.593;0.671;0.662;0.738;0.831;0.220;0.430;0.576;9;10.62;8.95;264.21;320.79;519.87
"Firminópolis (GO)";Municipality;520780;64.19;68.53;75.27;31.05;30.40;12.80;0.499;0.610;0.732;0.595;0.619;0.681;0.653;0.726;0.838;0.320;0.505;0.688;9.64;10.36;10.52;323.68;375.67;552.43
"Flores de Goiás (GO)";Municipality;520790;61.01;66.79;72.96;41.20;34.90;16.10;0.231;0.447;0.597;0.465;0.543;0.583;0.600;0.697;0.799;0.044;0.236;0.457;4.23;7.50;8.48;144.15;234.37;301.92
"Formosa (GO)";Municipality;520800;66.06;71.54;76.14;25.95;23.60;10.26;0.482;0.598;0.744;0.631;0.653;0.726;0.684;0.776;0.852;0.259;0.422;0.666;8.77;8.47;10.25;405.06;466.29;732.24
"Formoso (GO)";Municipality;520810;64.09;69.44;75.03;31.32;28.20;13.10;0.467;0.576;0.715;0.572;0.600;0.686;0.652;0.741;0.834;0.273;0.430;0.639;8.50;9.66;10.09;281.27;334.55;569.96
"Gameleira de Goiás (GO)";Municipality;520815;65.69;72.43;74.68;26.91;21.80;13.60;0.233;0.446;0.659;0.464;0.666;0.692;0.678;0.791;0.828;0.040;0.168;0.499;6.41;5.68;9.68;143.26;504.61;594.56
"Goianápolis (GO)";Municipality;520840;63.09;67.45;74.47;34.34;33.10;13.90;0.400;0.507;0.703;0.565;0.568;0.678;0.635;0.708;0.825;0.178;0.324;0.620;7.67;8.29;9.24;269.77;273.71;543.48
"Goiandira (GO)";Municipality;520850;65.85;72.35;75.93;26.48;21.90;12.00;0.521;0.639;0.760;0.584;0.645;0.711;0.681;0.789;0.849;0.356;0.512;0.727;9.48;10.21;10.43;303.43;441.64;667.11
"Goianésia (GO)";Municipality;520860;65.20;69.92;75.39;28.21;27.10;12.60;0.448;0.571;0.727;0.585;0.629;0.719;0.670;0.749;0.840;0.229;0.396;0.636;8.24;9.05;10.21;305.77;401.84;701.38
"Goiânia (GO)";Municipality;520870;68.06;72.73;75.28;22.68;20.79;13.11;0.600;0.715;0.799;0.717;0.776;0.824;0.718;0.796;0.838;0.420;0.591;0.739;9.14;10.09;10.08;693.72;1001.94;1348.55
"Goianira (GO)";Municipality;520880;64.69;69.28;74.87;29.63;28.60;13.30;0.416;0.566;0.694;0.542;0.614;0.674;0.662;0.738;0.831;0.200;0.401;0.596;8.13;8.52;9.38;233.13;365.72;529.59
"Goiás (GO)";Municipality;520890;63.73;70.56;73.27;32.40;25.70;17.50;0.441;0.563;0.709;0.581;0.625;0.713;0.646;0.759;0.805;0.229;0.376;0.621;7.39;8.70;10.28;297.79;392.11;674.54
"Goiatuba (GO)";Municipality;520910;68.40;73.52;74.47;20.36;19.70;10.98;0.490;0.628;0.725;0.644;0.711;0.737;0.723;0.809;0.825;0.252;0.430;0.627;8.81;9.11;9.82;438.73;667.28;785.84
"Gouvelândia (GO)";Municipality;520915;65.92;72.25;73.36;26.31;22.10;15.50;0.380;0.545;0.674;0.579;0.610;0.680;0.682;0.788;0.806;0.139;0.336;0.559;6.66;9.13;10.19;292.96;355.77;549.90
"Guapó (GO)";Municipality;520920;64.47;69.54;74.58;30.22;28.00;13.80;0.454;0.538;0.697;0.581;0.617;0.708;0.658;0.742;0.826;0.244;0.341;0.580;7.92;7.88;9.44;297.25;371.70;657.02
"Guaraíta (GO)";Municipality;520929;62.26;66.82;73.95;36.98;34.80;14.60;0.390;0.523;0.687;0.501;0.536;0.637;0.621;0.697;0.816;0.190;0.383;0.625;7.26;9.91;11.00;181.02;224.08;421.71
"Guarani de Goiás (GO)";Municipality;520940;61.87;67.40;73.81;38.24;33.30;14.80;0.275;0.448;0.637;0.424;0.490;0.569;0.615;0.707;0.814;0.080;0.259;0.557;6.09;7.69;10.54;112;168.62;276.13
"Guarinos (GO)";Municipality;520945;64.78;70.62;73.91;29.36;25.50;14.70;0.316;0.505;0.652;0.467;0.579;0.604;0.663;0.760;0.815;0.102;0.293;0.563;5.80;9.23;10.21;146.36;293.30;343.74
"Heitoraí (GO)";Municipality;520960;64.91;70.14;73.81;29.02;26.60;14.80;0.439;0.588;0.694;0.529;0.624;0.661;0.665;0.752;0.814;0.241;0.433;0.620;8.37;8.71;11.71;215.08;389.58;487.99
"Hidrolândia (GO)";Municipality;520970;65.54;70.76;74.64;27.30;25.20;13.70;0.427;0.566;0.706;0.534;0.636;0.707;0.676;0.763;0.827;0.216;0.374;0.603;8.44;9.03;9.41;221.43;417.54;651.41
"Hidrolina (GO)";Municipality;520980;64.15;70.10;74.46;31.17;26.70;13.90;0.449;0.545;0.677;0.528;0.669;0.652;0.653;0.752;0.824;0.262;0.322;0.577;8.47;8.32;10.54;214.35;515.09;461.13
"Iaciara (GO)";Municipality;520990;64.67;69.89;74.53;29.66;27.20;13.80;0.374;0.496;0.644;0.519;0.556;0.615;0.661;0.748;0.826;0.152;0.294;0.527;7.99;7.92;9.70;202.30;254.15;368.39
"Inaciolândia (GO)";Municipality;520993;65.95;70.75;74.34;26.84;25.30;14.10;0.390;0.542;0.692;0.555;0.598;0.683;0.683;0.763;0.822;0.157;0.349;0.591;7.23;9.02;9.47;253.28;329.72;560.52
"Indiara (GO)";Municipality;520995;64.15;71.12;75.19;31.17;24.50;12.90;0.418;0.545;0.701;0.597;0.622;0.694;0.653;0.769;0.837;0.188;0.338;0.593;7.73;8.50;9.86;327.69;382.85;598.96
"Inhumas (GO)";Municipality;521000;66.24;72.98;75.49;25.49;20.70;12.50;0.490;0.616;0.720;0.616;0.668;0.718;0.687;0.800;0.842;0.278;0.437;0.618;7.85;8.41;9.67;369.65;511.17;697.81
"Ipameri (GO)";Municipality;521010;65.95;70.28;74.39;26.84;26.30;14.00;0.476;0.574;0.701;0.589;0.637;0.711;0.683;0.755;0.823;0.268;0.394;0.588;7.57;8.87;9.76;312.38;420.49;666.96
"Ipiranga de Goiás (GO)";Municipality;521015;64.74;70.68;73.94;29.47;25.40;14.70;0.425;0.559;0.696;0.523;0.586;0.643;0.662;0.761;0.816;0.222;0.392;0.642;8.22;9.80;10.33;207.22;306.54;436.10
"Iporá (GO)";Municipality;521020;65.54;70.75;75.41;27.30;25.30;12.60;0.498;0.614;0.743;0.600;0.651;0.731;0.676;0.763;0.840;0.304;0.465;0.667;9.82;9.94;10.66;335.66;459.97;757.39
"Israelândia (GO)";Municipality;521030;65.06;70.66;74.88;28.59;25.50;13.30;0.438;0.538;0.711;0.524;0.584;0.664;0.668;0.761;0.831;0.240;0.351;0.652;8.42;9.27;11.50;208.49;302.38;498.82
"Itaberaí (GO)";Municipality;521040;63.33;70.76;74.65;33.58;25.20;13.70;0.436;0.589;0.719;0.593;0.670;0.735;0.639;0.763;0.828;0.218;0.399;0.610;7.68;8.58;10.02;321.14;515.86;773.67
"Itaguari (GO)";Municipality;521056;62.92;67.95;74.02;34.86;31.80;14.50;0.440;0.577;0.693;0.519;0.630;0.683;0.632;0.716;0.817;0.259;0.425;0.596;7.45;8.39;8.70;202.41;403.97;560.17
"Itaguaru (GO)";Municipality;521060;63.61;68.22;74.65;32.74;31.20;13.60;0.441;0.591;0.718;0.557;0.649;0.689;0.644;0.720;0.828;0.239;0.442;0.648;8.44;10.58;11.23;256.67;452.63;580.67
"Itajá (GO)";Municipality;521080;64.99;71.94;75.08;28.78;22.80;13.10;0.462;0.568;0.691;0.605;0.644;0.692;0.667;0.782;0.835;0.245;0.363;0.570;8.78;8.77;9.68;345.81;439.47;592.10
"Itapaci (GO)";Municipality;521090;63.61;70.39;75.61;32.74;26.00;12.40;0.417;0.557;0.725;0.591;0.603;0.720;0.644;0.757;0.844;0.191;0.378;0.626;7.39;9.23;10.64;316.60;340.41;705.20
"Itapirapuã (GO)";Municipality;521100;65.20;71.47;73.95;28.21;23.70;14.60;0.380;0.541;0.677;0.563;0.581;0.670;0.670;0.775;0.816;0.145;0.351;0.568;7.24;8.99;10.38;265.50;298.14;518.21
"Itapuranga (GO)";Municipality;521120;65.18;71.29;75.22;28.27;24.10;12.90;0.454;0.593;0.726;0.567;0.642;0.700;0.670;0.772;0.837;0.247;0.420;0.653;8.39;9.54;10.54;273.20;435.65;621.79
"Itarumã (GO)";Municipality;521130;64.69;70.43;76.63;29.63;26.00;12.40;0.420;0.588;0.693;0.644;0.686;0.769;0.662;0.757;0.861;0.174;0.391;0.503;6;7.03;8.82;439.01;571.81;960.55
"Itauçu (GO)";Municipality;521140;65.69;72.06;75.00;26.91;22.50;13.20;0.454;0.611;0.718;0.546;0.589;0.697;0.678;0.784;0.833;0.253;0.495;0.638;8.06;9.78;9.87;238.71;311.95;611.99
"Itumbiara (GO)";Municipality;521150;68.06;73.90;75.30;22.68;19.00;13.46;0.518;0.656;0.752;0.644;0.686;0.744;0.718;0.815;0.838;0.301;0.505;0.682;9;10.12;10.11;438.82;570.50;821.43
"Ivolândia (GO)";Municipality;521160;65.54;71.19;74.52;27.30;24.30;13.80;0.389;0.563;0.704;0.543;0.602;0.680;0.676;0.770;0.825;0.160;0.384;0.622;8.12;8.47;9.38;234.98;339.74;551.05
"Jandaia (GO)";Municipality;521170;66.39;72.75;74.28;25.11;21.10;14.20;0.444;0.590;0.707;0.589;0.616;0.690;0.690;0.796;0.821;0.215;0.418;0.625;7.78;9.55;10.86;312.49;370.66;586.84
"Jaraguá (GO)";Municipality;521180;64.19;68.47;75.43;31.05;30.50;12.60;0.393;0.560;0.699;0.549;0.621;0.692;0.653;0.725;0.841;0.169;0.390;0.588;7.80;7.60;9.30;243.23;381.84;595.02
"Jataí (GO)";Municipality;521190;68.06;73.94;76.35;22.68;18.90;11.75;0.497;0.627;0.757;0.651;0.696;0.774;0.718;0.816;0.856;0.262;0.435;0.656;8.20;8.92;9.65;459.75;606.33;987.04
"Jaupaci (GO)";Municipality;521200;63.35;67.72;74.42;33.53;32.40;14.00;0.428;0.553;0.689;0.583;0.572;0.658;0.639;0.712;0.824;0.211;0.415;0.602;7.84;10.07;9.63;301.20;281.89;479.14
"Jesúpolis (GO)";Municipality;521205;62.23;66.79;73.81;37.08;34.90;14.80;0.351;0.550;0.649;0.518;0.586;0.642;0.621;0.697;0.814;0.135;0.407;0.522;8.23;9.57;11.02;200.93;307.34;433.41
"Joviânia (GO)";Municipality;521210;65.75;71.01;74.59;26.73;24.70;13.70;0.497;0.637;0.706;0.629;0.714;0.714;0.679;0.767;0.827;0.287;0.473;0.595;8.72;9.36;9.85;400.74;679.64;679.21
"Jussara (GO)";Municipality;521220;67.02;73.52;75.50;23.54;19.70;12.50;0.475;0.598;0.743;0.607;0.637;0.768;0.700;0.809;0.842;0.252;0.414;0.635;8.50;8.99;10.25;349.86;421.03;951.07
"Lagoa Santa (GO)";Municipality;521225;68.09;73.90;77.10;21.77;19.00;10.50;0.382;0.559;0.740;0.551;0.585;0.733;0.718;0.815;0.868;0.141;0.366;0.638;4.45;10.06;9.45;247.25;305.10;765.86
"Leopoldo de Bulhões (GO)";Municipality;521230;64.47;69.23;73.73;31.72;28.70;15.00;0.427;0.523;0.659;0.566;0.622;0.665;0.658;0.737;0.812;0.209;0.312;0.529;8.06;7.64;8.84;271.38;383.49;502.85
"Luziânia (GO)";Municipality;521250;64.88;71.74;74.86;29.09;23.22;12.25;0.430;0.550;0.701;0.614;0.639;0.689;0.665;0.779;0.831;0.195;0.334;0.602;8.17;8.21;9.02;365.95;425.48;580.88
"Mairipotaba (GO)";Municipality;521260;66.06;72.35;76.23;25.95;21.90;12.90;0.473;0.627;0.745;0.593;0.671;0.748;0.684;0.789;0.854;0.261;0.465;0.648;8.11;9.54;10.82;320.85;520.63;842.23
"Mambaí (GO)";Municipality;521270;63.09;67.78;73.95;34.34;32.30;14.60;0.245;0.431;0.626;0.437;0.506;0.610;0.635;0.713;0.816;0.053;0.222;0.494;6.34;7.41;9.28;121.53;187.01;357.12
"Mara Rosa (GO)";Municipality;521280;65.18;71.33;75.29;28.27;24.00;12.80;0.415;0.540;0.691;0.587;0.584;0.680;0.670;0.772;0.838;0.182;0.350;0.579;6.72;8.31;11.57;308.76;302.99;548.96
"Marzagão (GO)";Municipality;521290;67.02;71.80;74.34;24.83;23.00;14.10;0.510;0.614;0.699;0.632;0.638;0.692;0.700;0.780;0.822;0.299;0.465;0.601;9.36;9.34;10.91;409.41;422.87;594.43
"Matrinchã (GO)";Municipality;521295;64.09;70.78;75.39;31.32;25.20;12.60;0.344;0.515;0.679;0.558;0.582;0.651;0.652;0.763;0.840;0.112;0.307;0.572;7.18;8.30;10.21;257.19;299.66;458.45
"Maurilândia (GO)";Municipality;521300;65.28;71.36;74.40;28;24.00;14.00;0.448;0.546;0.677;0.604;0.607;0.682;0.671;0.773;0.823;0.222;0.347;0.554;8.37;9.04;8.62;342.28;350.10;557.51
"Mimoso de Goiás (GO)";Municipality;521305;63.87;68.70;74.47;31.97;30.00;13.90;0.331;0.445;0.665;0.487;0.525;0.656;0.648;0.728;0.825;0.115;0.231;0.543;5.87;8.13;8.63;166.16;210.50;474.44
"Minaçu (GO)";Municipality;521308;65.54;71.30;73.18;27.30;24.10;17.70;0.434;0.559;0.707;0.572;0.619;0.691;0.676;0.772;0.803;0.211;0.365;0.637;7.30;8.01;9.83;281.87;375.51;590.70
"Mineiros (GO)";Municipality;521310;68.09;72.49;75.41;21.77;21.70;12.60;0.479;0.590;0.718;0.671;0.687;0.753;0.718;0.792;0.840;0.228;0.378;0.584;7.10;8.12;8.66;520.98;574.37;869.04
"Moiporá (GO)";Municipality;521340;64.15;70.79;74.05;31.17;25.20;14.50;0.425;0.575;0.696;0.541;0.612;0.652;0.653;0.763;0.818;0.217;0.408;0.632;8.61;10.48;11.51;232.29;360.26;461.94
"Monte Alegre de Goiás (GO)";Municipality;521350;62.08;67.40;73.95;37.57;33.30;14.60;0.312;0.418;0.615;0.472;0.503;0.592;0.618;0.707;0.816;0.104;0.206;0.481;7.21;6.92;8.04;150.87;183.46;317.66
"Montes Claros de Goiás (GO)";Municipality;521370;65.54;71.71;73.36;27.30;23.20;15.50;0.434;0.563;0.707;0.602;0.623;0.704;0.676;0.779;0.806;0.201;0.367;0.622;8.62;9.27;11.20;339.85;387.32;637.58
"Montividiu (GO)";Municipality;521375;66.06;72.15;74.60;25.93;22.30;13.70;0.379;0.578;0.733;0.589;0.660;0.738;0.684;0.786;0.827;0.135;0.372;0.644;5.98;9.29;9.44;313.23;485.95;791.60
"Montividiu do Norte (GO)";Municipality;521377;62.08;67.45;73.95;37.57;33.10;14.60;0.310;0.451;0.613;0.482;0.512;0.578;0.618;0.708;0.816;0.100;0.253;0.488;6.52;6.93;9.13;160.82;192.97;291.78
"Morrinhos (GO)";Municipality;521380;67.62;73.18;76.69;23.73;20.30;12.30;0.498;0.623;0.734;0.609;0.717;0.739;0.710;0.803;0.862;0.286;0.419;0.621;10.06;9.18;9.99;354.15;693.12;792.66
"Morro Agudo de Goiás (GO)";Municipality;521385;62.23;67.40;74.58;37.08;33.30;13.80;0.434;0.535;0.695;0.540;0.567;0.644;0.621;0.707;0.826;0.244;0.383;0.630;7.99;7.08;11.61;230.15;273.24;441.44
"Mossâmedes (GO)";Municipality;521390;67.02;72.21;73.66;23.54;22.20;15.10;0.396;0.587;0.706;0.530;0.633;0.696;0.700;0.787;0.811;0.167;0.407;0.623;6.76;10.37;10.99;216.55;411.38;607.34
"Mozarlândia (GO)";Municipality;521400;63.25;69.52;74.51;33.84;28.00;13.80;0.393;0.562;0.683;0.563;0.620;0.684;0.638;0.742;0.825;0.169;0.385;0.565;7.79;8.17;8.95;265.55;379.08;562.97
"Mundo Novo (GO)";Municipality;521405;62.08;68.50;73.73;37.57;30.40;15.00;0.321;0.446;0.634;0.561;0.575;0.642;0.618;0.725;0.812;0.095;0.213;0.488;6.28;7.85;9.67;262.40;286.61;434.73
"Mutunópolis (GO)";Municipality;521410;63.05;67.25;73.34;34.44;33.70;15.50;0.379;0.528;0.680;0.506;0.589;0.668;0.634;0.704;0.806;0.170;0.354;0.584;7.77;9.09;9.70;186.17;311.87;512.49
"Nazário (GO)";Municipality;521440;67.02;72.17;73.45;23.54;22.30;15.40;0.402;0.574;0.710;0.534;0.634;0.702;0.700;0.786;0.808;0.174;0.379;0.631;6.99;9.64;10.63;222.55;413.83;631.12
"Nerópolis (GO)";Municipality;521450;65.54;71.62;74.20;27.30;23.40;14.30;0.461;0.616;0.721;0.579;0.650;0.681;0.676;0.777;0.820;0.250;0.462;0.671;7.87;9.49;9.31;293.96;458.18;555.47
"Niquelândia (GO)";Municipality;521460;63.80;69.95;73.34;32.18;27.00;15.50;0.374;0.555;0.715;0.548;0.627;0.709;0.647;0.749;0.806;0.147;0.365;0.640;7.17;8.82;10.73;241.99;397.10;659.49
"Nova América (GO)";Municipality;521470;62.23;69.20;72.73;37.08;28.80;16.50;0.441;0.514;0.678;0.522;0.571;0.647;0.621;0.737;0.796;0.265;0.323;0.604;7.89;9.43;10.94;206.45;279.46;447.78
"Nova Aurora (GO)";Municipality;521480;67.12;72.06;75.93;23.32;22.50;12.00;0.462;0.651;0.747;0.520;0.649;0.703;0.702;0.784;0.849;0.271;0.541;0.697;10.01;10.37;10.38;203.07;453.01;635.99
"Nova Crixás (GO)";Municipality;521483;63.73;69.77;73.78;32.40;27.40;16.70;0.349;0.479;0.643;0.577;0.621;0.674;0.646;0.746;0.813;0.114;0.237;0.485;6.62;7.19;9.07;289.26;380.58;531.22
"Nova Glória (GO)";Municipality;521486;64.49;70.74;73.94;30.18;24.66;14.70;0.440;0.557;0.681;0.512;0.577;0.657;0.658;0.762;0.816;0.253;0.393;0.589;8.25;8.88;9.91;193.64;289.95;476.52
"Nova Iguaçu de Goiás (GO)";Municipality;521487;62.26;67.45;73.71;36.98;33.10;15.00;0.306;0.514;0.655;0.557;0.591;0.642;0.621;0.708;0.812;0.083;0.324;0.540;5.70;7.89;9.85;255.32;315.74;435.91
"Nova Roma (GO)";Municipality;521490;63.33;70.20;73.71;33.58;26.50;15.00;0.384;0.486;0.634;0.486;0.492;0.594;0.639;0.753;0.812;0.182;0.309;0.529;6.45;8.50;8.50;164.83;170.82;323.19
"Nova Veneza (GO)";Municipality;521500;63.33;68.82;75.24;33.58;29.70;12.80;0.451;0.549;0.718;0.538;0.593;0.671;0.639;0.730;0.837;0.267;0.382;0.660;7.27;8.78;9.86;227.90;320.19;521.40
"Novo Brasil (GO)";Municipality;521520;63.93;69.86;74.66;31.80;27.20;13.60;0.414;0.550;0.699;0.575;0.611;0.691;0.649;0.748;0.828;0.190;0.364;0.598;8.31;9.66;10.98;285.74;359.16;588.85
